Firma,Telefon,Adres,Durum,Notlar,Sozlesme_Tarihi,Tuketim_Bilgisi,Hatirlatici_Tarih
Asur Turizm Turkish Airlines,0532 298 16 84,"Bağcılar Mah Çevlik CAD. ENÇ Yapı Deluxia Park Blok No:19 BC, 21090, 21050 Bağcılar/Diyarbakır, Türkiye",Yeni,dasdhashdhas,2025-12-01,5000.0,2025-12-01
Giral Turizm,(0412) 224 43 43,"Yenişehir Yenişehir Aziz Mahmutoğulları Cad. Kupik Apt, D:1, 21100 Yenişehir/Diyarbakır, Türkiye",Yeni,,,,
OZSU TURİZM,0530 695 51 95,"Yeniköy, 1014. Sk., 21090 Bağlar/Diyarbakır, Türkiye",Yeni,,,,
Best Van Tur,(0412) 234 00 56,"Fırat, Urfa Yolu üzeri D:9, 21070 Merkez/Kayapınar/Diyarbakır, Türkiye",Yeni,,,,
Diyarbakır Siirt Seyahat,0532 050 29 21,"Talaytepe Mahallesi Büyük Şehir Otogarı peron=39, 21000 Kayapınar/Diyarbakır, Türkiye",Yeni,,,,
Star Diyarbakır,(0412) 234 19 90,"Fırat, Şehirlerarası Otobüs Terminali, 21070 Merkez/Kayapınar/Diyarbakır, Türkiye",Yeni,,,,
Özlem Diyarbakır,(0412) 235 15 02,"Muradiye, Cemiloğlu Cd., 21090 Bağlar/Diyarbakır, Türkiye",Yeni,,,,
bingöl yarım otobüs Diyarbakırdan Bingöl Otobüs Firmaları diyarbakır bingöl otobüs iletişim,(0412) 228 59 56,"Cami Nebi, Cumhuriyet Garajı, 21280 Sur/Diyarbakır, Türkiye",Yeni,,,,
Can Diyarbakır Turizm,(0424) 224 09 02,"Hicret, güney çevre yolu no : 102 /13, 23190 Elazığ Merkez/Elazığ, Türkiye",Yeni,,,,
ARİNTUR TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,0541 446 90 15,"AZOR ÇELEBİ SİTESİ, Mezopotamya, Fırat Blv. A BLOK NO: 86 AB, 21070 Kayapınar/Diyarbakır, Türkiye",Yeni,,,,
Lüks Fırat Turizm,Telefon Yok,"Fırat Mahallesi. Urfa Bulvarı D.B.B. Terminali No: 210, İç Kapı: No:43 Peron: 38, 21070 Karapınar/Diyarbakır, Türkiye",Yeni,,,,
STAR DİYARBAKIR TURİZM OSMANİYE,(0328) 404 00 88,"OSMANİYE ŞEHİRLER ARASI OTOBÜS TERMİNALİ, Yunus Emre, OTOGAR İÇİ No:107, 80020 Osmaniye Merkez/Osmaniye, Türkiye",Yeni,,,,
Yeni Diyarbakır Genel Müdürlük,(0412) 234 21 13,"Fırat, Urfa Yolu D:12-13, 21070 Diyarbakır Merkez/Diyarbakır, Türkiye",Yeni,,,,
Venn turizm Seyahat,(0412) 505 15 05,"Intercity Bus Terminal, Peyas, Fırat Blv. No: 170, 21070 Kayapınar/Diyarbakır, Türkiye",Yeni,,,,
Can Diyarbakır Batman,0530 238 95 47,"Merkez, Batman Merkez, 72040 Batman Merkez/Batman, Türkiye",Yeni,,,,
Özlem Bingöl Seyahat,444 2 312,"Otobüs Terminali Urfa Yolu D:10-11, Diyarbakır Merkez, Diyarbakır, Türkiye",Yeni,,,,
Polat Turizm,(0412) 228 54 70,"Kooperatifler, Yaşar Kemal Cd Onur Pasajı No:30, 21100 Diyarbakır Merkez/Diyarbakır, Türkiye",Yeni,,,,
Diyarbakır Bingöl VİP,0530 305 00 08,"Yenişehir, Aliemiri 4. Sk., 21100 Yenişehir/Diyarbakır, Türkiye",Yeni,,,,
STAR DİYARBAKIR BATMAN,(0488) 213 25 25,"HİLAL MAH. T.P.A.O BLV. YENİ BAŞTİ OTOBÜS TERMİNALİ, 72060 Batman Merkez/Batman, Türkiye",Yeni,,,,
Özlem Cizre Nuh,0541 486 16 86,"Cizre Nuh, Ağaçgeçit, 21090 Bağlar/Diyarbakır, Türkiye",Yeni,,,,
Diyarbakır Barış Seyahat,0530 663 62 04,"Konak, 1006. Sk. No:8, 21640 Silvan/Diyarbakır, Türkiye",Yeni,,,,
Can DÌyarbakir Turizm,Telefon Yok,"Kaynartepe, 21090 Bağlar/Diyarbakır, Türkiye",Yeni,,,,
Can Dersim Tuncelililer,(0412) 236 31 21,"Kayapınar Diyarbakır TR, Fırat, Yeni Otogar D:50, 21090 Bağlar, Türkiye",Yeni,,,,
Star Diyarbakır Seyahat,0533 694 35 93,"Fırat, Dicle Cd. NO 59 / E, 21500 Bismil/Diyarbakır, Türkiye",Yeni,,,,
Botan Turizm,(0412) 223 23 93,"Yenişehir, Gevran Cd. Altunbay 2 Apt. D:1, 21100 Yenişehir/Diyarbakır, Türkiye",Yeni,,,,
Öz Diyarbakır Seyahat,444 2 100,"Yenişehir, Istasyon Cd Birlik Apt. No:32 D:6, 21100 Yenişehir/Diyarbakır, Türkiye",Yeni,,,,
ŞANLIURFA HAS DİYARBAKIR,0533 309 95 10,"ŞANLIURFA ŞEHİRLERARASI TERMİNALİ, Esentepe, KARAKÖPRÜ BLV NO 57 İÇ KAPI NO:6, 63330 Karaköprü/Şanlıurfa, Türkiye",Yeni,,,,
Diyarbakır Umre,(0412) 226 20 20,"Cami Nebi, Gazi Cd. No:18, 21300 Sur/Diyarbakır, Türkiye",Yeni,,,,
Siverek Can Diyarbakır,(0414) 552 17 18,"Fırat, Mevlana Celaleddin Rumi Blv., 63600 Siverek/Şanlıurfa, Türkiye",Yeni,,,,
Özlem Diyarbakır Seyahat,Telefon Yok,"Peyas, Kayapınar Cd., 21070 Kayapınar/Diyarbakır, Türkiye",Yeni,,,,
Özlem Batman Seyahat,0549 513 72 01,"Fırat, 21070 Kayapınar/Diyarbakır, Türkiye",Yeni,,,,
Yeni Diyarbakır,(0412) 223 05 43,"Cami Nebi, İnönü Cad. 27/A, 21300 Sur/Diyarbakır, Türkiye",Yeni,,,,
Yıldız Bey Turizm,0532 720 72 53,"Mevlana Halit Mah. Turgut Özal Bulv. 396. Sok. Ender 2 Apt. 5, D:4, 21090 Bağlar/Diyarbakır, Türkiye",Yeni,,,,
Öz Diyarbakır Osmaniye,(0328) 814 30 78,"Yunus Emre, Otogar Caddesi, 80100 Osmaniye Merkez/Osmaniye, Türkiye",Yeni,,,,
Metro,(0412) 229 34 55,"Yenişehir, Istasyon Caddesi, Kurt İsmail Paşa 2. Sok. İş Gören Apt., A Blok 30/A, 21100 Bağlar/Yenişehir/Diyarbakır, Türkiye",Yeni,,,,
Doğuş Diyar Birlik,(0424) 233 30 01,"Fabrika, Elazığ Cd., 21120 Yenişehir/Diyarbakır, Türkiye",Yeni,,,,
Bay Antrepo ve Lojistik Hizmetleri Ltd. Şti.,0534 260 14 04,"Aktoprak Mahallesi 87140 Sokak No 14A İç Kapı No 2, 27620 Şehitkamil/Gaziantep, Türkiye",Yeni,,,,
YILMAZ TURİZM TAŞIMACILIK PERSONEL SERVİSİ,0532 237 80 27,"29 ekim mahallesi 81074, Sanayi, 60011. Cd. no:54 kat 1, 27080 Şehitkamil/Gaziantep, Türkiye",Yeni,,,,
